scenario,realization,save_path,n,request_failure_pct,service_delay_pct,avg_wait_min,elapsed_min
Cs_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r0/simulation_6,5924,4.828,13.054,15.418,1.2
BCs_C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r0/simulation_1,5924,4.186,9.285,13.65,1.3
CsD_C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r1/simulation_1,4624,1.99,9.819,13.292,1.0
Cs_C2i22,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r0/simulation_5,5924,5.317,12.89,15.042,1.2
Cs_C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r1/simulation_1,5985,6.75,13.17,15.288,1.2
BCsD_C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r1/simulation_1,4624,1.471,6.936,12.063,1.1
BCs_C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r1/simulation_1,5985,6.149,8.35,13.206,1.3
Cs_C1i1,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r1/simulation_1,5985,25.397,34.043,25.884,1.0
CsD_C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r2/simulation_1,4638,3.04,10.807,13.967,0.9
Cs_C2i20,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r1/simulation_1,5985,10.058,16.849,16.774,1.1
Cs_C2i22,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r1/simulation_1,5985,7.218,14.064,15.33,1.1
Cs_C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r2/simulation_1,6074,8.133,14.749,15.964,1.1
BCsD_C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r2/simulation_1,4638,2.307,6.996,12.281,1.1
BCs_C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r2/simulation_1,6074,7.474,8.007,13.281,1.2
Cs_C1i1,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r2/simulation_1,6074,25.058,32.447,25.138,1.1
Cs_C2i20,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r2/simulation_1,6074,12.232,17.802,17.469,1.1
Cs_C2i22,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r2/simulation_1,6074,9.022,13.952,15.5,1.1
CsD_C2i23,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r3/simulation_1,4711,2.526,10.54,13.835,1.0
Cs_C2i23,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r3/simulation_1,6096,7.07,13.522,15.53,1.1
BCs_C2i23,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r3/simulation_1,6096,6.119,8.842,13.579,1.2
Cs_C2i23,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r6/simulation_1,5952,6.099,14.707,16.091,1.1
Cs_C2i23,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r8/simulation_1,5956,5.927,13.064,15.371,1.2
Cs_C2i23,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r9/simulation_1,5871,5.825,13.71,15.422,1.2
Cs_C2i23,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r7/simulation_1,6023,7.422,15.244,16.466,1.2
Cs_C2i23,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r4/simulation_2,6004,7.079,14.985,16.105,1.2
Cs_C2i23,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i23_r5/simulation_1,6057,7.429,13.911,15.804,1.2
BCs_C2i23,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r4/simulation_2,6004,6.179,9.427,13.931,1.2
BCs_C2i23,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r6/simulation_1,5952,5.192,8.435,13.466,1.2
BCs_C2i23,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r8/simulation_1,5956,5.121,8.76,13.371,1.2
BCs_C2i23,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r5/simulation_1,6057,6.637,9.089,13.656,1.2
BCs_C2i23,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r7/simulation_1,6023,6.475,9.622,13.9,1.2
BCs_C2i23,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCs_C2i23_r9/simulation_1,5871,4.974,9.285,13.521,1.2
CsD_C2i23,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r6/simulation_1,4593,0.457,8.793,13.071,0.9
CsD_C2i23,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r8/simulation_1,4532,0.066,8.081,12.684,0.9
CsD_C2i23,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r7/simulation_1,4670,2.527,10.215,13.824,0.9
CsD_C2i23,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r9/simulation_1,4502,0.866,9.523,13.252,0.9
CsD_C2i23,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r4/simulation_1,4635,1.791,10.062,13.647,1.0
CsD_C2i23,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/CsD_C2i23_r5/simulation_1,4656,2.277,11.714,14.163,1.0
BCsD_C2i23,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r8/simulation_1,4532,0.0,5.583,11.621,1.0
BCsD_C2i23,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r6/simulation_1,4593,0.435,6.67,11.961,1.0
BCsD_C2i23,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r7/simulation_1,4670,1.692,6.927,12.28,1.0
BCsD_C2i23,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r3/simulation_2,4711,1.528,7.717,12.387,1.1
BCsD_C2i23,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r5/simulation_1,4656,1.611,7.466,12.429,1.1
BCsD_C2i23,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r4/simulation_1,4635,1.597,6.402,11.975,1.1
Cs_C1i1,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r4/simulation_1,6004,25.916,35.072,26.116,0.9
Cs_C1i1,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r6/simulation_1,5952,23.656,30.986,24.616,0.9
Cs_C1i1,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r5/simulation_1,6057,26.3,36.447,26.788,0.9
BCsD_C2i23,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_C2i23_r9/simulation_1,4502,0.555,7.058,11.989,1.0
Cs_C1i1,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r3/simulation_2,6096,26.624,36.799,26.492,1.0
Cs_C1i1,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r7/simulation_1,6023,24.108,29.096,24.059,1.0
Cs_C1i1,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r8/simulation_1,5956,24.496,32.221,24.989,1.1
Cs_C1i1,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C1i1_r9/simulation_1,5871,21.138,27.235,22.697,1.1
Cs_C2i20,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r3/simulation_2,6096,9.892,16.239,16.618,1.1
Cs_C2i20,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r4/simulation_1,6004,10.493,16.803,17.127,1.1
Cs_C2i20,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r6/simulation_1,5952,9.493,16.298,16.625,1.0
Cs_C2i20,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r5/simulation_1,6057,10.154,18.284,17.521,1.1
Cs_C2i20,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r8/simulation_1,5956,9.738,17.727,17.347,1.2
Cs_C2i20,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r7/simulation_1,6023,11.041,18.552,17.632,1.2
Cs_C2i20,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i20_r9/simulation_1,5871,9.453,17.889,17.384,1.1
Cs_C2i22,4,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r4/simulation_1,6004,7.945,13.063,15.244,1.2
Cs_C2i22,3,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r3/simulation_2,6096,7.431,12.582,14.914,1.2
Cs_C2i22,5,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r5/simulation_1,6057,7.661,12.48,15.01,1.1
Cs_C2i22,6,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r6/simulation_1,5952,6.502,13.279,15.183,1.0
Cs_C2i22,7,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r7/simulation_1,6023,8.368,13.3,15.373,1.0
Cs_C2i22,8,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r8/simulation_1,5956,6.917,13.113,14.961,1.0
Cs_C2i22,9,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/Cs_C2i22_r9/simulation_1,5871,6.49,13.115,15.022,1.0
BCsD_sup0.9-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_sup0.9-C2i23_r0/simulation_1,4569,2.495,8.53,13.159,1.0
BCsD_dw15-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dw15-C2i23_r0/simulation_1,4569,3.458,8.501,13.031,1.0
BCsD_T20-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_T20-C2i23_r0/simulation_1,4571,1.335,4.656,11.091,1.0
BCsD_ds3-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_ds3-C2i23_r0/simulation_1,4569,0.153,4.976,11.332,1.1
BCsD_T40-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_T40-C2i23_r0/simulation_1,4568,0.022,6.197,11.73,1.1
BCsD_dw5-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dw5-C2i23_r0/simulation_1,4569,0.022,1.182,9.021,1.1
BCsD_sup0.8-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_sup0.8-C2i23_r0/simulation_1,4569,5.931,9.819,14.081,0.9
BCsD_dm0.9-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dm0.9-C2i23_r0/simulation_1,4100,0.024,2.074,9.747,1.0
BCsD_dmsurge-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dmsurge-C2i23_r0/simulation_1,4904,5.302,7.364,12.303,1.0
BCsD_dmod-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dmod-C2i23_r0/simulation_1,4253,0.024,3.41,10.394,1.0
BCsD_dm1.1-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dm1.1-C2i23_r0/simulation_1,5024,2.269,8.004,12.863,1.1
BCsD_dm1.2-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dm1.2-C2i23_r0/simulation_1,5472,4.934,8.17,13.146,1.1
BCsD_up0.8-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_up0.8-C2i23_r0/simulation_1,4836,0.6,5.846,11.65,1.0
BCsD_up0.6-C2i23,0,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_up0.6-C2i23_r0/simulation_1,5109,0.861,6.18,12.061,1.2
BCsD_T20-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_T20-C2i23_r1/simulation_1,4626,2.464,5.984,11.627,1.1
BCsD_T40-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_T40-C2i23_r1/simulation_1,4624,0.043,8.438,12.822,1.1
BCsD_dw15-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dw15-C2i23_r1/simulation_1,4624,5.104,8.341,12.986,1.0
BCsD_dw5-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dw5-C2i23_r1/simulation_1,4624,0.022,2.747,9.598,1.1
BCsD_ds3-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_ds3-C2i23_r1/simulation_1,4624,1.471,6.431,12.001,1.1
BCsD_sup0.8-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_sup0.8-C2i23_r1/simulation_1,4624,7.634,9.412,13.87,1.0
BCsD_sup0.9-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_sup0.9-C2i23_r1/simulation_1,4624,4.52,7.565,12.662,1.0
BCsD_dm0.9-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dm0.9-C2i23_r1/simulation_1,4142,0.459,3.323,10.09,1.0
BCsD_dm1.1-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dm1.1-C2i23_r1/simulation_1,5081,4.231,7.707,12.654,1.1
BCsD_dm1.2-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dm1.2-C2i23_r1/simulation_1,5563,7.118,7.896,13.061,1.1
BCsD_dmsurge-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dmsurge-C2i23_r1/simulation_1,4964,7.534,6.732,11.97,1.0
BCsD_dmod-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dmod-C2i23_r1/simulation_1,4379,0.822,4.122,10.683,1.0
BCsD_up0.8-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_up0.8-C2i23_r1/simulation_1,4896,1.94,6.478,12.012,1.1
BCsD_up0.6-C2i23,1,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_up0.6-C2i23_r1/simulation_1,5169,2.283,6.929,12.242,1.1
BCsD_T20-C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_T20-C2i23_r2/simulation_1,4638,3.558,5.522,11.628,1.0
BCsD_T40-C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_T40-C2i23_r2/simulation_1,4638,1.229,8.404,12.959,1.1
BCsD_dw15-C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dw15-C2i23_r2/simulation_1,4638,6.296,8.145,13.199,1.0
BCsD_dw5-C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_dw5-C2i23_r2/simulation_1,4638,0.0,2.329,9.755,1.1
BCsD_ds3-C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_ds3-C2i23_r2/simulation_1,4638,2.415,7.247,12.327,1.0
BCsD_sup0.9-C2i23,2,/Users/jihoyeo/research/dtumos-paratransit/revision_runs_2026/simul_result/BCsD_sup0.9-C2i23_r2/simulation_1,4638,5.671,7.36,12.84,0.9
